POLARITY		CONCEPT
positive		a_dua
positive		a_hau
negative		a_hau_snarf
negative		a_hau_velicate
negative		a_xit_benzoic
negative		a_xit_uric
negative		abacinate
negative		abbey_moi
negative		abbot
positive		abdominoplasty
negative		aberrant
negative		aberrate
negative		abey
negative		abhor
negative		abjure
negative		ablare
negative		ablast
negative		ablate
positive		ablaze
positive		ablest
positive		ably
positive		abnegate
positive		abnipresent
positive		abode
negative		abomasum
negative		aborticide
negative		aboulia
positive		aboulic
negative		abracadabra
positive		abreaction
positive		abreal_melatonin
negative		abridge
negative		abridge_du_kien
negative		abscisic
negative		abscond
negative		abseil
negative		absquatulation
negative		abulia
positive		abut
positive		abut_weld
positive		abuzz
positive		abysm
negative		abysmal
negative		ac_mong
negative		ac_quy
negative		ac_y
negative		acalculia
negative		acanthamoeba
negative		acanthocephalan
negative		acaricide
positive		accedit
negative		accelerant
negative		accelerator_cau_xin
negative		accelerator_negatron
negative		accelerator_proton
negative		accelerator_thoi_thuc
positive		accolade
positive		accordion
positive		accoutrement
negative		accrust
negative		accurse
positive		accurst
positive		accutre
positive		ace
positive		ace_trong_lo
negative		acentric
negative		acerbity
positive		acetabular
positive		acetabulum
negative		acetazolamide
negative		acetify
negative		acetobacter
positive		acetophenone
negative		acetose
positive		aceusal
positive		ach
positive		ach_blest
positive		achalasia
positive		achene
negative		acheronia
negative		acherotic
positive		achilles
negative		achilles_lam_bi_thuong
negative		achilles_toan_bo
negative		achlorhydria
negative		achondroplasia
negative		achromasia
negative		achromatic
negative		aciate
negative		acid_mau_propionic
positive		acidenia
negative		acidophil
positive		acidulent_hydrazoic
positive		acini
negative		acisotropy
positive		ack
positive		ackee
negative		ackpot_tien_mat
negative		acoel
negative		acold
positive		acolyte
positive		aconite
negative		acquisite
negative		acrid
positive		acrimony
negative		acromegalic
positive		acromion
positive		acroread
negative		acrotomophilia
positive		acthropocentric
positive		actias_moon
positive		actient
positive		activcard
negative		actus_reus
positive		acuminate
positive		acural
positive		adage
positive		adamant
negative		adant
negative		adcirca
negative		adcount
negative		adder
positive		adelgid
negative		adenocarcinoma
negative		adenocarcinoma_mut
negative		adenoma
negative		adenophyllum
positive		adept
negative		adhd
negative		adipocere
negative		adiponectin
positive		adiponitrile
negative		adipose
positive		adium
negative		adler
positive		admissible
negative		admonite
positive		admut
negative		adochromatism
positive		adrenaline
positive		adrenaline_thang_hoa
positive		adrenergic
negative		adrift
positive		adrrochrome
negative		adset_adset_parkinson
positive		adumbrate
negative		advil
positive		aedicule
positive		aegir
negative		aegle
negative		aeolotropic
negative		aequorin
negative		aequrea
negative		aerdrie_fauenya
negative		aerdy
negative		aero
negative		aerobee
positive		aerodrome
positive		aeronut
negative		aeroshell
negative		aerostat
negative		aeruginosa
positive		aery
negative		aery_tan_cong
negative		aestivate
negative		aethiophysa
positive		aetiologic
positive		aetiology_chinh_xac
negative		affidavit
positive		affine
negative		affright
negative		afird
positive		aflame
positive		aflatoxin
positive		aflio
positive		afloat
negative		aflutter
positive		afor
negative		afoul
negative		aftergood
positive		aftershock_cuong_do
negative		agalactiae
positive		agarose
positive		agate
positive		agathe_tyche
positive		agayne
positive		agaynst
positive		agglutinate
positive		aggramonte
negative		agh
negative		agitprop
positive		agkistrodon
positive		agleam
positive		aglow
positive		agnise
negative		agnosia
negative		agnosia_bang_loi_noi_extero
positive		agobot
positive		agog
positive		agonistic
negative		agophile_linh_muc
negative		agraphia
positive		agric
positive		agroman
negative		ague
positive		agulter
positive		aha
negative		ahab
positive		ahamkara
positive		ahem
positive		ahiji
negative		ahriman
positive		ahura_mazda
positive		ai_biet
negative		ai_quan_tam
negative		aids
positive		aikido
positive		aimpoint
positive		airbrush
negative		airburst
positive		airfoil
negative		airhead
positive		airily
positive		airlift
negative		airlock
positive		airpark
negative		airpocalypse
negative		airsick
positive		airstream
negative		airtight
positive		airworth
negative		akathisia
positive		aker_sach_se
positive		al_dente
positive		alabaster
positive		alabastron
positive		alacrity
positive		aladdin
negative		alakiya
positive		alamosa
positive		alamshar
positive		alarplasty
negative		alberser_pham_vi
negative		albinism
negative		albinism_co_quan
positive		alborer
negative		albret
negative		albuffera
positive		album_dau_tien
negative		albumin
negative		albumin_huyet_thanh
negative		albuminuria
positive		alchemy
positive		alciphron
positive		alcove
positive		alcoves
positive		alcyone
negative		aldactone
positive		aldehyd
positive		aldermen
negative		aldobrandino
negative		aleatory
positive		alencon
negative		aleve
positive		alexithymia
positive		alfalfa
negative		alfo
positive		alfresco
negative		alfuzosin
negative		algid
positive		alginate
negative		algy
negative		alhama
positive		alick
negative		alien
positive		alinda
positive		aline
negative		aliskiren
negative		alitame
negative		aliweb
positive		alizarin
positive		allaine_thap
negative		allamah
positive		allay
positive		allayer
negative		allele
negative		allele_dot_bien
positive		allen
negative		alleviant
negative		allholy
negative		allity
positive		allmouth
negative		allmovie
positive		allocentric
negative		allodial
negative		allodium
negative		allograft
positive		alloplastic
positive		allotrope
positive		allottee
negative		alloverplace
negative		allow_care
positive		allstar
positive		allude_nhay_cam
negative		allude_on
negative		alluvial
negative		alluvion
positive		allynia
negative		almaolidramin
negative		almshouse
positive		aloha
negative		alopecia
positive		alpaca
positive		alpenglow
positive		alpha
negative		alpha_buc_xa
positive		alpha_nam
negative		alpha_ray
negative		alprazolam
negative		alprostadil
positive		alrighto
positive		altazimuth
negative		alternaria
positive		alto
positive		altruist
negative		altschmerz
negative		alula
negative		alzheimer
positive		am
negative		am_anh
positive		am_ap
positive		am_cung
negative		am_dam
negative		am_dam_fritillary
negative		am_dao
negative		am_dao_hoa
positive		am_dun_nuoc
positive		am_giai
negative		am_ho
negative		am_ho_am_ho
positive		am_ho_ngua
negative		am_i
positive		am_long
positive		am_luong_noi
positive		am_mon
negative		am_muu
positive		am_muu_hoa_giai
positive		am_muu_tra_thu
negative		am_nhac_am_dam
negative		am_nhac_du_duong_em_ai
negative		am_o
negative		am_phu
positive		am_thanh
positive		am_thanh_tot
positive		am_thuc
positive		am_tieu
positive		am_tinh
positive		am_tram
negative		am_uot
positive		am_vat
negative		am_vuc_cao
negative		amabel
negative		amalekite
positive		amalgamate
positive		amanita_muscaria
negative		amanita_virosa
negative		amarcord
positive		amass_wealth
positive		amatic
positive		amavasya
positive		amaziah
negative		ambedo
negative		ambit
negative		ambive
negative		amblyomma
positive		amblyopic
negative		ambuscade
positive		ambystoma
negative		amelanistic
negative		ameliorate
positive		amen
negative		amerce
positive		amergin
positive		amethyst
negative		amiang
positive		amicify
positive		amide
positive		amidine
positive		amidinium
negative		amiloride
positive		amin
negative		aminoaciduria
negative		aminonia
negative		aminophylline
negative		aminorex
negative		amiss
positive		amitabha
negative		amitiiza
negative		amittai
positive		amity
negative		amlodipine
positive		amminadab
negative		ammonium
positive		ammophila
negative		amnesiac
positive		amobarbital
negative		amoeba
negative		amoeboid
negative		amok
negative		amoniac
positive		amorino
negative		amorth
positive		amouuage
positive		ampere
positive		amphetamine
negative		amphiesma
positive		amphimallon
positive		amphipod_crustacean
positive		amphiprion
negative		amphisbaena
negative		amphisbaenia
positive		amphotericin
positive		ampicillin_sulbactam
negative		ampoule
negative		ampullary
negative		amrita_nectar
negative		amroup_strife
positive		amsl
positive		amulet
negative		amur_leopard
negative		amyl_nitrat
positive		amyloid
positive		amylum
negative		amyraldism
positive		amyumi
positive		an
positive		an_anh
positive		an_benh
positive		an_burger
negative		an_cannibal
negative		an_cao
negative		an_cap
negative		an_cap_tien
positive		an_cap_vat
positive		an_carne
negative		an_chinh
positive		an_cho_no
negative		an_choi_bua_bai
negative		an_chuong_trinh_nghi_su
positive		an_com
positive		an_cung_nhau
negative		an_danh
negative		an_dat
negative		an_do
positive		an_du
positive		an_duoc
negative		an_gian
negative		an_giau
positive		an_hue
positive		an_kem
negative		an_keo
positive		an_khoai_tay_chien
negative		an_khoi_tam_nhin
negative		an_kieng
positive		an_kieng_nghi_thuc
positive		an_kieng_tho
negative		an_mac
negative		an_mac_dep
negative		an_may
positive		an_mien_phi
negative		an_mieng_tra_mieng
negative		an_mon
negative		an_mon_an_mon
negative		an_mon_khi
positive		an_mon_mite
positive		an_mung
negative		an_nap
negative		an_nau
positive		an_nhieu_len
positive		an_noi_hoat_bat
positive		an_nup
positive		an_o_ngoai_quan
positive		an_rau
positive		an_rau_xanh
negative		an_si
positive		an_sung
positive		an_sung_khong_lay_chuyen
positive		an_sup
negative		an_tang
positive		an_tham
negative		an_thit_lon
positive		an_thuc_an
positive		an_thuc_an_ran
negative		an_thuc_pham
positive		an_thuc_vat
positive		an_toan
positive		an_toi
negative		an_trang
positive		an_trang_mieng
negative		an_trom
positive		an_trua
positive		an_tuong
positive		an_uong
positive		an_uong_ruou
positive		an_xa
positive		an_xat
negative		an_xin
negative		anabolic_steroid
negative		anachrony
negative		anaerobe
positive		anaglyph
positive		anakam
positive		analabaptism
positive		analog_nucleoside
positive		analysand
positive		anamnesis
positive		anangu
negative		anapest
negative		anapestic
negative		anaplastic
positive		anaplasty
negative		anarchy
positive		anasarca
positive		anastomosis
negative		anathema
negative		anatta
positive		anchorman
positive		anchorperson
positive		anchusa
positive		andacy
positive		andantino
positive		anderivative
negative		androcentrism
positive		androgel
positive		androgen
negative		androgynus
positive		androgyny
positive		andromachi
negative		andyl
negative		anechoic
positive		anecic
negative		aneourysm
positive		anethole
positive		aneuplidy
negative		anfo
positive		ang_dan_mang_dan
positive		angaphoric
negative		angiofibroma
negative		angioma
positive		angiotensin
positive		angled_drive
positive		angler
positive		anglesite
negative		anglomania
positive		anglophile
positive		angularity
negative		angulate
positive		angustofolia_oavender
positive		anh
positive		anh_ay_anh_ay
negative		anh_ban
positive		anh_bia
negative		anh_ca
negative		anh_chang
negative		anh_chup
positive		anh_di_dau_vay
positive		anh_em_huyet_thong
negative		anh_em_rong
positive		anh_hung
positive		anh_hung_duoc_ton_kinh
negative		anh_hung_hung_du
positive		anh_hung_pham
positive		anh_hung_phong_kien
negative		anh_hung_skelter
positive		anh_hung_vo_danh
negative		anh_huong
positive		anh_huong_lan_toa
positive		anh_huong_qua_co
negative		anh_huong_suy_yeu
negative		anh_huong_xau
positive		anh_mat_pha_le
positive		anh_mat_silica_thuy_tinh
positive		anh_nang_mat_troi_tot
positive		anh_noi_ba_chieu
positive		anh_sang
positive		anh_sang_ban_ngay
positive		anh_sang_dau
positive		anh_sang_di_lac
positive		anh_sang_don_sac
positive		anh_sang_hong_ngoai
negative		anh_sang_khac_nhau
positive		anh_sang_khong_phan_cuc
positive		anh_sang_le_loi
positive		anh_sang_lo_mo
positive		anh_sang_mat
positive		anh_sang_mat_troi
negative		anh_sang_mo
positive		anh_sang_nhap_nhay
positive		anh_sang_nhin_thay_mo
positive		anh_sang_o_cuoi
positive		anh_sang_thap
positive		anh_sang_thay_duoc
positive		anh_sang_thay_the
positive		anh_sang_toi
positive		anh_sang_vinh_cuu
positive		anh_trang
positive		anh_xa_len
negative		anh_yeu
negative		anhedonia
negative		anhydrid
positive		anhydride_maleic
negative		aniccam
positive		aniconic
positive		anicteric
positive		anil
negative		animadverse
negative		animatronic
negative		anion
negative		anion_moi
positive		anionic
positive		aniridia
positive		anishgamy
positive		anisometropia
negative		ankylosaur
negative		anna
positive		annabel
positive		annagh
negative		annektavda
negative		annelid
negative		annelidan
negative		annihilate
negative		annul
positive		anode
positive		anorexigenic
negative		anorgasmia
negative		anosmia
negative		anosognosia
negative		anovulan
negative		anovulant
negative		anovulate
negative		anovum
positive		anserine_dua
negative		anslinger
negative		ansty
positive		antabuse
negative		antacid
negative		antecede
negative		antedat
positive		antediluvian
positive		antegrade
negative		antemedial
negative		antemedian
negative		antepartum
positive		anteroconid
positive		anteromedial
negative		anteroposost
negative		anthelmintic
negative		anthesteria
positive		anthill
positive		anthomyidae
negative		anthracycline
positive		anthraquinone
positive		anthrope
positive		anthropoid
negative		anthropophagus
positive		antiaircraft
positive		anticholinergic
negative		antidromic
negative		antifeedant
negative		antifeminism
positive		antiferromagnet
negative		antigay
positive		antihyden
positive		antimilitarisis
negative		antimon
positive		antimycootic
negative		antineoplastic
positive		antineutron
positive		antinomian
negative		antinomy
negative		antipathy
negative		antiphlogistic
negative		antiplatelet
positive		antiproton
